index,video_id,winner,winner_swapped,rouge_l_f1_A,rouge_l_f1_B
14,e3p9-hYxwSQ,A,B,0.46334310850439886,0.3299369238233867
19,PFBI-ZfV5rs,A,A,0.23179438362684437,0.1959436232382262
17,3JsgtpX_rpU,A,A,0.11732531108984001,0.08631772268135904
15,jGn95KDWZMU,A,B,0.5571183533447684,0.3947583947583948
12,VKLLyv9cJSQ,A,A,0.06601873741353646,0.047527997814804705
4,4RAvJt3fWoI,B,A,0.16519872696321514,0.06318164723580293
28,tFHeUSJAYbE,A,A,0.21358801823312348,0.17362995116657626
9,Y7pNmocrmi8,A,A,0.20422447194100737,0.1314795743220048
5,fpL5fMmJHqk,A,A,0.2689682858289843,0.24559530165509877
24,MX7ymkYGiZ0,A,A,0.20137750081994096,0.18358714043993232
2,_Wjn0gm4g20,A,A,0.32598096122591136,0.17633543940264215
18,3PIqhdRzhxE,A,A,0.19585155919288838,0.1196883852691218
10,0cf7vzM_dZ0,A,A,0.2543832347753916,0.11276996666183504
3,pNg2DJ4spXg,A,A,0.21666241170964173,0.10737129076229422
6,bAe4qwQGxlI,A,B,0.37495746852670975,0.3129829984544049
13,czvVibB2lRA,A,A,0.24651522973670625,0.1303964757709251
26,ZLbVdvOoTKM,A,A,0.27751834556370913,0.11902465904394546
11,jan07gloaRg,A,A,0.2600058428279287,0.13096646942800788
30,tufdEUSjmNI,A,A,0.2184016625732099,0.18519515477792733
23,tMiQIxSX64c,B,A,0.5042168674698794,0.3283858998144713
20,rPUytg38b6Q,A,A,0.21198868021610495,0.12554112554112554
22,XpoKB3usmKc,A,A,0.23328233282332825,0.09437908496732025
27,GgLaP4Des1Q,A,A,0.21301775147928997,0.202231520223152
25,eC6Hd1hFvos,B,A,0.09083456304312182,0.12523248605083698
1,wJ794jLP2Tw,A,A,0.1733350056440487,0.08818069306930693
7,WqASiuM4a-A,A,A,0.27734261676820426,0.26809130645944634
16,sxvyBxLVvKs,A,A,0.2333785617367707,0.20631720430107528
8,Ylz779Op9Pw,A,A,0.26597966856983707,0.15801736920144036
21,xm9devSQEqU,A,A,0.226407986438124,0.15267175572519084
29,mj86XmfOniY,A,A,0.1731718259309107,0.2634194831013916
