index,video_id,winner,winner_swapped,rouge_l_f1_A,rouge_l_f1_B
14,e3p9-hYxwSQ,A,B,0.28893058161350843,0.2548076923076923
19,PFBI-ZfV5rs,B,B,0.15480304077401522,0.1779100529100529
17,3JsgtpX_rpU,B,B,0.08726056552143509,0.08398228737211788
15,jGn95KDWZMU,A,B,0.2780612244897959,0.3002855977152183
12,VKLLyv9cJSQ,B,A,0.05607811520200663,0.06016911437472185
4,4RAvJt3fWoI,B,A,0.07057736720554272,0.08610175662146173
28,tFHeUSJAYbE,B,A,0.17480855558489572,0.17555025192256696
9,Y7pNmocrmi8,B,A,0.13877278047149305,0.14744673655732163
5,fpL5fMmJHqk,B,B,0.21907756813417192,0.24287222808870115
24,MX7ymkYGiZ0,B,B,0.1997450063748406,0.1933609958506224
2,_Wjn0gm4g20,B,B,0.15305539691604797,0.18702290076335878
18,3PIqhdRzhxE,B,B,0.09247732527120754,0.13561076604554867
10,0cf7vzM_dZ0,A,A,0.13149281343389782,0.12990680598700932
3,pNg2DJ4spXg,B,A,0.09286474973375931,0.10097822656989586
6,bAe4qwQGxlI,A,B,0.2709163346613546,0.31266441187523486
13,czvVibB2lRA,B,B,0.11854480922803903,0.14084507042253522
26,ZLbVdvOoTKM,B,A,0.12152873247181742,0.11774415405777165
11,jan07gloaRg,B,A,0.1289694135982856,0.12473368196784816
30,tufdEUSjmNI,B,B,0.17904047172339854,0.16662244627222075
23,tMiQIxSX64c,B,A,0.26935409986257447,0.320704845814978
20,rPUytg38b6Q,B,B,0.14213197969543145,0.15737051792828685
22,XpoKB3usmKc,A,B,0.08544344890273989,0.0993309315491508
27,GgLaP4Des1Q,A,B,0.1772775237425255,0.1775636613902271
25,eC6Hd1hFvos,B,A,0.10441385856668249,0.1502403846153846
1,wJ794jLP2Tw,A,B,0.10015408320493066,0.0952959028831563
7,WqASiuM4a-A,B,A,0.23402163225172076,0.22312556458897922
16,sxvyBxLVvKs,B,B,0.17596848325673015,0.23356732610082964
8,Ylz779Op9Pw,A,A,0.1403289610660004,0.1465791145943656
21,xm9devSQEqU,A,B,0.18683001531393567,0.21866325005338458
29,mj86XmfOniY,A,A,0.205761316872428,0.23673827268741784
