index,video_id,winner,winner_swapped,rouge_l_f1_A,rouge_l_f1_B
14,e3p9-hYxwSQ,B,B,0.1808097615085968,0.28893058161350843
19,PFBI-ZfV5rs,B,A,0.1983530254206946,0.15480304077401522
17,3JsgtpX_rpU,B,A,0.06822488945041061,0.08726056552143509
15,jGn95KDWZMU,B,B,0.2660142348754448,0.2780612244897959
12,VKLLyv9cJSQ,B,A,0.04565456545654566,0.05607811520200663
4,4RAvJt3fWoI,B,A,0.05953610667668325,0.07057736720554272
28,tFHeUSJAYbE,B,A,0.1630735212824765,0.17480855558489572
9,Y7pNmocrmi8,B,A,0.1080302484695715,0.13877278047149305
5,fpL5fMmJHqk,B,B,0.2182603997839006,0.21907756813417192
24,MX7ymkYGiZ0,B,A,0.20328719723183392,0.1997450063748406
2,_Wjn0gm4g20,A,A,0.17988505747126435,0.15305539691604797
18,3PIqhdRzhxE,B,A,0.09209819028847878,0.09247732527120754
10,0cf7vzM_dZ0,B,A,0.09955555555555555,0.13149281343389782
3,pNg2DJ4spXg,B,A,0.07639717851329354,0.09286474973375931
6,bAe4qwQGxlI,A,B,0.2642570281124498,0.2709163346613546
13,czvVibB2lRA,A,A,0.1187214611872146,0.11854480922803903
26,ZLbVdvOoTKM,B,A,0.08162676665705221,0.12152873247181742
11,jan07gloaRg,B,A,0.12106537530266345,0.1289694135982856
30,tufdEUSjmNI,B,A,0.16083521444695262,0.17904047172339854
23,tMiQIxSX64c,B,A,0.3333333333333333,0.26935409986257447
20,rPUytg38b6Q,A,A,0.13514479799785484,0.14213197969543145
22,XpoKB3usmKc,B,B,0.08922713554651619,0.08544344890273989
27,GgLaP4Des1Q,B,B,0.16568483063328424,0.1772775237425255
25,eC6Hd1hFvos,B,A,0.10345386735852118,0.10441385856668249
1,wJ794jLP2Tw,B,A,0.08746716118065213,0.10015408320493066
7,WqASiuM4a-A,B,A,0.2503848127244741,0.23402163225172076
16,sxvyBxLVvKs,B,B,0.19018194301407482,0.17596848325673015
8,Ylz779Op9Pw,B,B,0.1281940233867475,0.1403289610660004
21,xm9devSQEqU,B,B,0.16153668132376764,0.18683001531393567
29,mj86XmfOniY,B,B,0.22833419823559936,0.205761316872428
