index,video_id,winner,winner_swapped,rouge_l_f1_A,rouge_l_f1_B
14,e3p9-hYxwSQ,A,A,0.46334310850439886,0.28893058161350843
19,PFBI-ZfV5rs,A,A,0.23179438362684437,0.15480304077401522
17,3JsgtpX_rpU,A,A,0.11732531108984001,0.08726056552143509
15,jGn95KDWZMU,A,B,0.5571183533447684,0.2780612244897959
12,VKLLyv9cJSQ,A,A,0.06601873741353646,0.05607811520200663
4,4RAvJt3fWoI,A,A,0.16519872696321514,0.07057736720554272
28,tFHeUSJAYbE,A,A,0.21358801823312348,0.17480855558489572
9,Y7pNmocrmi8,A,A,0.20422447194100737,0.13877278047149305
5,fpL5fMmJHqk,A,A,0.2689682858289843,0.21907756813417192
24,MX7ymkYGiZ0,A,A,0.20137750081994096,0.1997450063748406
2,_Wjn0gm4g20,A,A,0.32598096122591136,0.15305539691604797
18,3PIqhdRzhxE,A,A,0.19585155919288838,0.09247732527120754
10,0cf7vzM_dZ0,A,A,0.2543832347753916,0.13149281343389782
3,pNg2DJ4spXg,A,A,0.21666241170964173,0.09286474973375931
6,bAe4qwQGxlI,A,B,0.37495746852670975,0.2709163346613546
13,czvVibB2lRA,A,A,0.24651522973670625,0.11854480922803903
26,ZLbVdvOoTKM,A,A,0.27751834556370913,0.12152873247181742
11,jan07gloaRg,B,A,0.2600058428279287,0.1289694135982856
30,tufdEUSjmNI,A,A,0.2184016625732099,0.17904047172339854
23,tMiQIxSX64c,A,A,0.5042168674698794,0.26935409986257447
20,rPUytg38b6Q,A,A,0.21198868021610495,0.14213197969543145
22,XpoKB3usmKc,A,B,0.23328233282332825,0.08544344890273989
27,GgLaP4Des1Q,A,A,0.21301775147928997,0.1772775237425255
25,eC6Hd1hFvos,B,A,0.09083456304312182,0.10441385856668249
1,wJ794jLP2Tw,A,A,0.1733350056440487,0.10015408320493066
7,WqASiuM4a-A,A,A,0.27734261676820426,0.23402163225172076
16,sxvyBxLVvKs,A,A,0.2333785617367707,0.17596848325673015
8,Ylz779Op9Pw,A,B,0.26597966856983707,0.1403289610660004
21,xm9devSQEqU,A,A,0.226407986438124,0.18683001531393567
29,mj86XmfOniY,B,B,0.1731718259309107,0.205761316872428
