index,video_id,winner,winner_swapped,rouge_l_f1_A,rouge_l_f1_B
14,e3p9-hYxwSQ,A,A,0.46334310850439886,0.1808097615085968
19,PFBI-ZfV5rs,A,A,0.23179438362684437,0.1983530254206946
17,3JsgtpX_rpU,A,A,0.11732531108984001,0.06822488945041061
15,jGn95KDWZMU,A,A,0.5571183533447684,0.2660142348754448
12,VKLLyv9cJSQ,A,A,0.06601873741353646,0.04565456545654566
4,4RAvJt3fWoI,B,A,0.16519872696321514,0.05953610667668325
28,tFHeUSJAYbE,A,A,0.21358801823312348,0.1630735212824765
9,Y7pNmocrmi8,A,A,0.20422447194100737,0.1080302484695715
5,fpL5fMmJHqk,A,A,0.2689682858289843,0.2182603997839006
24,MX7ymkYGiZ0,A,A,0.20137750081994096,0.20328719723183392
2,_Wjn0gm4g20,A,A,0.32598096122591136,0.17988505747126435
18,3PIqhdRzhxE,A,A,0.19585155919288838,0.09209819028847878
10,0cf7vzM_dZ0,A,A,0.2543832347753916,0.09955555555555555
3,pNg2DJ4spXg,A,A,0.21666241170964173,0.07639717851329354
6,bAe4qwQGxlI,A,B,0.37495746852670975,0.2642570281124498
13,czvVibB2lRA,A,A,0.24651522973670625,0.1187214611872146
26,ZLbVdvOoTKM,A,A,0.27751834556370913,0.08162676665705221
11,jan07gloaRg,B,A,0.2600058428279287,0.12106537530266345
30,tufdEUSjmNI,A,A,0.2184016625732099,0.16083521444695262
23,tMiQIxSX64c,B,A,0.5042168674698794,0.3333333333333333
20,rPUytg38b6Q,A,A,0.21198868021610495,0.13514479799785484
22,XpoKB3usmKc,A,A,0.23328233282332825,0.08922713554651619
27,GgLaP4Des1Q,A,A,0.21301775147928997,0.16568483063328424
25,eC6Hd1hFvos,B,A,0.09083456304312182,0.10345386735852118
1,wJ794jLP2Tw,A,A,0.1733350056440487,0.08746716118065213
7,WqASiuM4a-A,A,A,0.27734261676820426,0.2503848127244741
16,sxvyBxLVvKs,A,A,0.2333785617367707,0.19018194301407482
8,Ylz779Op9Pw,A,A,0.26597966856983707,0.1281940233867475
21,xm9devSQEqU,A,A,0.226407986438124,0.16153668132376764
29,mj86XmfOniY,A,A,0.1731718259309107,0.22833419823559936
